frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
243,1777426450.705495,1.990,2.045,,155.283,,,150.862,settle,tracking,181.02,,,,,0
244,1777426450.858926,2.093,2.135,,153.284,,1.394,147.272,active,tracking,201.02,1,-2.12,-0.12,2,
245,1777426451.013006,1.989,2.035,,153.946,,,149.525,settle,tracking,188.24,,,,,1
246,1777426451.166213,2.563,2.059,,153.050,,,148.089,settle,tracking,208.00,,,,,0
247,1777426451.321825,2.075,2.310,,155.455,,,150.718,active,tracking,196.79,0,,,,
248,1777426451.474240,2.043,2.003,,152.267,,1.419,146.437,active,tracking,182.40,1,-1.60,-0.16,2,
249,1777426451.627895,2.116,2.101,,153.528,,,148.946,settle,tracking,202.58,,,,,1
250,1777426451.779568,2.108,2.022,,151.517,,,147.032,settle,tracking,187.43,,,,,0
251,1777426451.932601,2.554,2.073,,152.813,,,147.853,active,tracking,207.01,0,,,,
252,1777426452.003584,2.125,2.037,,70.828,,,66.361,active,tracking,111.17,0,,,,
253,1777426452.075301,2.140,2.079,,71.573,,,66.336,active,tracking,116.15,0,,,,
254,1777426452.149130,2.307,2.231,,73.685,,,68.849,active,tracking,123.26,0,,,,
255,1777426452.223393,1.994,1.996,,74.132,,,66.217,active,lost,97.42,0,,,,
256,1777426452.230158,2.076,2.015,2.262,6.615,,,,active,acquiring,37.46,0,,,,
257,1777426452.260437,19.336,2.019,1.730,30.117,4.993,1.406,,active,tracking,34.38,1,-7.52,-0.16,3,
258,1777426452.346957,22.352,2.177,,86.383,,,61.516,settle,tracking,87.53,,,,,2
259,1777426452.442977,2.151,2.368,,95.866,,,91.002,settle,tracking,150.18,,,,,1
260,1777426452.536187,2.324,2.095,,93.030,,,88.270,settle,tracking,143.30,,,,,0
261,1777426452.631464,2.219,2.112,,95.108,,1.411,89.003,active,tracking,138.48,1,-6.68,-0.24,2,
262,1777426452.725482,2.059,2.037,,93.886,,,89.422,settle,tracking,132.41,,,,,1
263,1777426452.819210,2.042,2.064,,93.590,,,89.152,settle,tracking,126.04,,,,,0
264,1777426452.913958,2.094,2.015,,94.593,,1.439,88.665,active,tracking,120.72,1,-6.12,-0.24,2,
265,1777426453.007108,2.156,2.433,,93.009,,,88.080,settle,tracking,147.11,,,,,1
266,1777426453.100305,2.136,2.082,,93.038,,,88.475,settle,tracking,140.22,,,,,0
267,1777426453.197056,2.111,2.021,,96.595,,1.413,90.687,active,tracking,136.89,1,-5.04,-0.28,2,
268,1777426453.291088,2.025,1.987,,93.898,,,89.548,settle,tracking,130.82,,,,,1
269,1777426453.384512,2.020,2.064,,93.271,,,88.836,settle,tracking,124.16,,,,,0
270,1777426453.429403,2.171,2.027,,44.741,,,40.202,active,tracking,68.91,0,,,,
271,1777426453.474132,2.022,2.059,,44.591,,,40.200,active,tracking,80.31,0,,,,
272,1777426453.519256,2.122,2.116,,44.988,,,40.462,active,tracking,92.08,0,,,,
273,1777426453.563912,2.033,1.989,,44.527,,,40.179,active,tracking,70.00,0,,,,
274,1777426453.612405,2.086,2.043,,48.348,,,40.590,active,lost,85.09,0,,,,
275,1777426453.620949,2.276,2.475,3.327,8.385,,,,active,acquiring,60.30,0,,,,
276,1777426453.634105,2.115,2.006,1.831,13.000,6.438,,,active,tracking,40.09,0,,,,
277,1777426453.727877,16.852,2.135,,93.615,,,74.306,active,tracking,100.49,0,,,,
278,1777426453.843819,2.091,2.025,,115.803,,,111.341,active,tracking,149.71,0,,,,
279,1777426453.956965,2.287,2.061,,112.980,,,108.295,active,tracking,162.75,0,,,,
280,1777426454.070570,2.100,1.986,,113.448,,,109.032,active,tracking,142.92,0,,,,
281,1777426454.189799,2.091,2.064,,119.070,,,111.488,active,lost,162.04,0,,,,
282,1777426454.197081,2.116,2.207,2.548,7.137,,,,active,acquiring,35.88,0,,,,
283,1777426454.238547,20.845,2.015,1.766,41.315,14.638,1.415,,active,tracking,43.98,1,6.24,0.40,2,
284,1777426454.395236,12.741,2.221,,156.552,,,141.293,settle,tracking,167.30,,,,,1
285,1777426454.651825,1.973,2.067,,256.446,,,252.035,settle,tracking,290.43,,,,,0
286,1777426454.906198,2.070,2.013,,254.178,,,249.772,active,tracking,311.25,0,,,,
287,1777426455.034884,2.146,2.112,,128.530,,,123.974,active,tracking,173.03,0,,,,
288,1777426455.166780,2.060,2.028,,131.748,,,124.074,active,lost,171.45,0,,,,
289,1777426455.174485,2.173,2.205,2.879,7.555,,,,active,acquiring,45.71,0,,,,
290,1777426455.191738,11.191,2.021,1.667,17.096,0.535,1.418,,active,tracking,29.61,1,10.40,-6.28,3,
291,1777426455.229780,27.373,2.011,,37.904,,,7.893,settle,tracking,34.27,,,,,2
292,1777426455.266062,22.402,2.026,,36.133,,,11.347,settle,tracking,37.19,,,,,1
293,1777426455.293714,19.878,1.992,,27.498,,,5.305,settle,tracking,31.47,,,,,0
294,1777426455.326700,25.245,1.998,,32.833,,,5.323,active,tracking,31.10,0,,,,
295,1777426455.360042,25.563,2.058,,33.185,,,5.239,active,tracking,31.07,0,,,,
296,1777426455.393340,25.611,2.002,,33.136,,,5.262,active,tracking,31.00,0,,,,
297,1777426455.427499,26.314,2.017,,33.949,,,5.262,active,lost,31.81,0,,,,
298,1777426455.457094,25.085,2.041,2.079,29.449,,,,active,acquiring,28.04,0,,,,
